City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kahului,20.8947,-156.47,28.01,71,40,5.14,US,1970-01-01 00:00:01.682124339
1,Hobart,-42.8794,147.3294,18.92,65,75,8.75,AU,1970-01-01 00:00:01.682124069
2,Mataura,-46.1927,168.8643,15.71,70,94,1.65,NZ,1970-01-01 00:00:01.682124340
3,Avera,33.194,-82.5271,21.97,58,100,2.95,US,1970-01-01 00:00:01.682124340
4,Rikitea,-23.1203,-134.9692,26.05,81,100,7.78,PF,1970-01-01 00:00:01.682124311
5,Upernavik,72.7868,-56.1549,-5.02,76,100,3.46,GL,1970-01-01 00:00:01.682124341
6,Arraial Do Cabo,-22.9661,-42.0278,21.83,74,1,1.42,BR,1970-01-01 00:00:01.682124342
7,Kenai,60.5544,-151.2583,12.05,49,0,5.14,US,1970-01-01 00:00:01.682124342
8,Punta Arenas,-53.15,-70.9167,5.06,75,40,5.66,CL,1970-01-01 00:00:01.682124298
9,Cape Town,-33.9258,18.4232,13.28,75,75,1.54,ZA,1970-01-01 00:00:01.682124266
10,Koslan,63.4564,48.8989,-1.14,94,99,2.64,RU,1970-01-01 00:00:01.682124344
11,Ushuaia,-54.8,-68.3,4.81,65,40,4.12,AR,1970-01-01 00:00:01.682124344
12,Sechura,-5.5569,-80.8222,26.32,79,100,4.23,PE,1970-01-01 00:00:01.682124345
13,Lazaro Cardenas,17.9583,-102.2,25.99,69,12,4.55,MX,1970-01-01 00:00:01.682124346
14,Vaini,-21.2,-175.2,27.09,69,20,4.12,TO,1970-01-01 00:00:01.682124346
15,Castro,-24.7911,-50.0119,10.34,99,30,3.07,BR,1970-01-01 00:00:01.682124242
16,Lofthus,59.9468,10.8018,7.12,84,12,1.59,NO,1970-01-01 00:00:01.682124347
17,Mongu,-15.2484,23.1274,19.47,68,100,0.88,ZM,1970-01-01 00:00:01.682124348
18,Antsohihy,-14.8796,47.9875,22.71,93,18,0.93,MG,1970-01-01 00:00:01.682124349
19,Salalah,17.0151,54.0924,28.05,69,75,1.54,OM,1970-01-01 00:00:01.682124349
20,Meulaboh,4.1363,96.1285,26.46,85,9,1.34,ID,1970-01-01 00:00:01.682124350
21,Kapaa,22.0752,-159.319,27.99,79,0,3.6,US,1970-01-01 00:00:01.682124351
22,La Libertad,-2.2333,-80.9,26.51,77,100,2.27,EC,1970-01-01 00:00:01.682124219
23,Caarapo,-22.6342,-54.8222,13.42,90,0,2.58,BR,1970-01-01 00:00:01.682124352
24,Amapa,1.0,-52.0,23.39,99,100,1.28,BR,1970-01-01 00:00:01.682124353
25,Narsaq,60.9167,-46.05,9.12,69,11,2.61,GL,1970-01-01 00:00:01.682124353
26,Bengkulu,-3.8004,102.2655,25.76,85,93,1.61,ID,1970-01-01 00:00:01.682124354
27,Cayenne,4.9333,-52.3333,24.02,100,75,1.54,GF,1970-01-01 00:00:01.682124080
28,Balod,20.73,81.2047,25.72,46,2,2.51,IN,1970-01-01 00:00:01.682124355
29,Wagar,16.1525,36.2032,26.07,41,0,4.76,SD,1970-01-01 00:00:01.682124356
30,Ancud,-41.8697,-73.8203,10.11,83,0,1.71,CL,1970-01-01 00:00:01.682124356
31,Klaksvik,62.2266,-6.589,6.51,91,100,10.12,FO,1970-01-01 00:00:01.682124357
32,Hofn,64.2539,-15.2082,1.55,59,3,5.34,IS,1970-01-01 00:00:01.682124358
33,Haifa,32.8156,34.9892,14.6,71,28,3.58,IL,1970-01-01 00:00:01.682124358
34,Buraydah,26.326,43.975,21.25,47,10,3.72,SA,1970-01-01 00:00:01.682124359
35,Palamos,41.8484,3.1291,15.62,54,100,3.58,ES,1970-01-01 00:00:01.682124359
36,Yandyki,45.7691,47.1258,11.72,77,100,3.97,RU,1970-01-01 00:00:01.682124360
37,Lakatoro,-16.0999,167.4164,29.31,67,10,3.62,VU,1970-01-01 00:00:01.682124361
38,New Norfolk,-42.7826,147.0587,19.72,70,100,1.79,AU,1970-01-01 00:00:01.682124362
39,Ambilobe,-13.2,49.05,22.33,93,33,1.65,MG,1970-01-01 00:00:01.682124362
40,Lincoln,40.8,-96.667,7.32,48,99,7.6,US,1970-01-01 00:00:01.682124151
41,Bluff,-46.6,168.3333,14.1,86,97,6.74,NZ,1970-01-01 00:00:01.682124364
